text,label
Limited offer buy now pay nothing,fake
Online course enrollment now open,genuine
Flash sale ending today hurry up,fake
New batch starting soon for MCA admissions,genuine
Online job with instant joining,fake
Online course enrollment now open,genuine
Earn passive income through crypto,fake
Send OTP to receive lottery winnings,fake
Send OTP to receive lottery winnings,fake
Pay registration fee to start job,fake
Guaranteed crypto returns in one week,fake
Workshop on cloud computing scheduled next week,genuine
Guaranteed crypto returns in one week,fake
Earn guaranteed returns by investing today,fake
Work from home and earn daily income,fake
Flash sale ending today hurry up,fake
Earn guaranteed returns by investing today,fake
Free gift card on first purchase,fake
Urgent hiring with guaranteed salary,fake
Quick money scheme approved by experts,fake
Double your money within 24 hours,fake
Online job with instant joining,fake
Buy household items with seasonal discount,genuine
Flash sale ending today hurry up,fake
Buy electronics at 90 percent discount,fake
Buy household items with seasonal discount,genuine
Limited time investment offer with high profit,fake
Flash sale ending today hurry up,fake
Earn passive income through crypto,fake
Guaranteed crypto returns in one week,fake
Online course enrollment now open,genuine
Guaranteed crypto returns in one week,fake
Free gift card on first purchase,fake
Buy household items with seasonal discount,genuine
Limited offer buy now pay nothing,fake
Flash sale ending today hurry up,fake
Urgent hiring with guaranteed salary,fake
Join our crypto mining pool today,fake
Online job with instant joining,fake
Bitcoin doubling scheme limited slots,fake
Invest in crypto and get assured profit,fake
No interview required job offer,fake
Buy electronics at 90 percent discount,fake
Fresh groceries available for home delivery in your area,genuine
No interview required job offer,fake
Exclusive deal only for selected users,fake
Invest in crypto and get assured profit,fake
Pay registration fee to start job,fake
Flash sale ending today hurry up,fake
Guaranteed crypto returns in one week,fake
Electronics sale with bank card offers,genuine
Quick money scheme approved by experts,fake
Bitcoin doubling scheme limited slots,fake
Double your money within 24 hours,fake
Online job with instant joining,fake
Double your money within 24 hours,fake
Exclusive deal only for selected users,fake
Bitcoin doubling scheme limited slots,fake
Free gift card on first purchase,fake
Join our crypto mining pool today,fake
Limited offer buy now pay nothing,fake
Invest in crypto and get assured profit,fake
Free gift card on first purchase,fake
Online course enrollment now open,genuine
Bitcoin doubling scheme limited slots,fake
Earn guaranteed returns by investing today,fake
Earn passive income through crypto,fake
Flash sale ending today hurry up,fake
Invest in crypto and get assured profit,fake
Join our crypto mining pool today,fake
Exclusive deal only for selected users,fake
Flash sale ending today hurry up,fake
Online job with instant joining,fake
Urgent hiring with guaranteed salary,fake
Online job with instant joining,fake
Invest in crypto and get assured profit,fake
Buy electronics at 90 percent discount,fake
University announces scholarship application dates,genuine
Flash sale ending today hurry up,fake
Double your money within 24 hours,fake
No interview required job offer,fake
Send OTP to receive lottery winnings,fake
Limited time investment offer with high profit,fake
Pay registration fee to start job,fake
New batch starting soon for MCA admissions,genuine
Earn passive income through crypto,fake
Quick money scheme approved by experts,fake
Earn guaranteed returns by investing today,fake
Free gift card on first purchase,fake
Fresh groceries available for home delivery in your area,genuine
Join our crypto mining pool today,fake
Urgent hiring with guaranteed salary,fake
Fresh groceries available for home delivery in your area,genuine
Flash sale ending today hurry up,fake
Urgent hiring with guaranteed salary,fake
Limited offer buy now pay nothing,fake
Online course enrollment now open,genuine
Electronics sale with bank card offers,genuine
Limited time investment offer with high profit,fake
Guaranteed crypto returns in one week,fake
Double your money within 24 hours,fake
Buy electronics at 90 percent discount,fake
Buy electronics at 90 percent discount,fake
Buy electronics at 90 percent discount,fake
Send OTP to receive lottery winnings,fake
Online job with instant joining,fake
Exclusive deal only for selected users,fake
Limited offer buy now pay nothing,fake
New batch starting soon for MCA admissions,genuine
Electronics sale with bank card offers,genuine
Exclusive deal only for selected users,fake
Work from home and earn daily income,fake
Join our crypto mining pool today,fake
Local store opens new branch in city,genuine
University announces scholarship application dates,genuine
Limited offer buy now pay nothing,fake
No interview required job offer,fake
Electronics sale with bank card offers,genuine
Join our crypto mining pool today,fake
